meas_idx,obs_idx,sat_id,start_time,end_time,used,max_rh,max_amp,mean_amp,num_recs
3,19,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,20,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,21,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,22,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,23,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,24,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,25,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,26,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,27,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,28,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,29,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,30,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,31,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,32,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,33,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,34,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,35,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,36,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,37,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,38,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,39,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,40,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,41,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,42,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,43,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,44,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,45,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,46,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,47,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,48,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,49,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,50,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,51,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,52,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,53,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,54,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,55,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,56,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,57,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,58,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,59,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,60,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,61,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,62,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,63,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,64,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,65,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,66,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,67,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,68,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,69,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,70,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,71,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,72,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,73,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,74,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,75,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,76,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,77,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,78,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,79,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,80,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,81,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,82,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,83,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,84,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,85,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,86,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,87,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,88,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,89,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,90,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,91,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,92,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,93,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,94,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,95,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,96,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,97,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,98,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,99,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,100,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,101,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,102,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,103,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,104,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,105,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,106,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,107,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,108,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,109,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,110,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,111,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,112,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,113,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,114,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,115,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,116,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,117,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,118,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,119,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,120,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,121,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,122,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,123,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,124,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,125,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,126,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,127,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,0,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,1,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,2,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,3,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,4,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,5,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,6,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,7,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,8,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,9,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,10,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,11,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,12,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,13,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,14,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,15,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,16,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,17,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,18,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,19,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,20,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,21,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,22,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,23,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,24,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,25,65535,65535,65535,true,NaN,NaN,NaN,4294967295
4,26,65535,65535,65535,true,NaN,NaN,NaN,4294967295
